TractId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
41047010202,Oregon,Marion County,7405,3789,3616,26.1,70.1,0.1,0.2,2.1,0.0,4660,56344.0,4661.0,24228.0,1723.0,7.5,7.5,28.6,18.3,23.0,14.9,15.2,86.3,7.3,0.5,0.5,1.3,4.0,25.7,3212,81.3,14.3,4.5,0.0,6.3
41047010303,Oregon,Marion County,5019,2647,2372,51.4,46.1,0.4,0.0,0.2,0.0,2929,60668.0,4742.0,19631.0,2015.0,15.0,18.1,22.3,13.3,29.5,21.2,13.6,77.4,13.0,0.5,1.8,2.8,4.5,24.4,2292,82.2,13.2,4.4,0.3,10.0
41047010304,Oregon,Marion County,6582,3409,3173,74.5,24.2,0.0,0.0,0.0,0.0,2598,52339.0,5153.0,15599.0,1789.0,23.0,48.7,15.2,15.5,17.1,25.7,26.6,62.3,29.3,0.0,1.2,4.7,2.6,26.2,3412,88.9,6.9,4.2,0.0,7.4
41047010305,Oregon,Marion County,4681,2461,2220,64.7,32.4,1.0,0.7,0.5,0.0,1908,47035.0,4457.0,17140.0,2605.0,18.0,24.2,15.2,18.7,21.6,22.4,22.1,63.2,22.4,1.7,5.0,5.0,2.8,21.5,1891,89.5,7.1,3.4,0.0,6.2
41047010306,Oregon,Marion County,9500,4704,4796,53.6,41.9,0.1,0.0,1.8,0.2,4280,44830.0,8412.0,16424.0,2173.0,33.6,46.5,20.6,18.1,26.9,22.2,12.2,64.9,26.5,2.6,2.1,1.0,2.8,24.9,3469,86.0,9.2,4.1,0.7,7.8
41047010307,Oregon,Marion County,5781,2328,3453,26.8,68.4,0.0,0.0,1.1,0.0,4259,46968.0,6134.0,27445.0,2605.0,12.7,22.9,30.4,13.0,21.5,13.9,21.1,89.7,4.7,0.6,0.0,0.9,4.1,30.6,2238,83.4,12.6,4.0,0.0,2.1
41047010400,Oregon,Marion County,4868,2618,2250,27.7,69.7,0.3,0.0,0.9,0.2,3558,57125.0,17349.0,23553.0,3172.0,12.8,6.3,25.8,16.0,27.7,20.3,10.1,71.6,13.7,0.7,7.8,2.9,3.4,22.8,2222,88.8,6.3,4.9,0.0,2.5
41047010501,Oregon,Marion County,5779,2815,2964,2.0,95.6,0.0,0.4,0.0,0.3,4434,79858.0,12241.0,32928.0,3666.0,3.8,2.7,30.0,12.1,25.1,16.4,16.4,75.2,7.5,0.0,1.9,1.2,14.1,28.0,2634,73.9,16.1,10.0,0.0,5.7
41047010502,Oregon,Marion County,6740,3214,3526,13.5,82.5,0.0,0.2,0.7,0.0,4575,64375.0,6028.0,32392.0,5966.0,12.2,16.8,45.4,20.0,17.7,5.4,11.5,73.8,6.2,0.5,8.8,2.2,8.4,26.6,2703,71.4,22.1,6.5,0.0,8.4
41047010503,Oregon,Marion County,4241,2170,2071,8.4,88.8,1.2,0.3,0.1,0.0,3066,61444.0,10258.0,27017.0,4004.0,8.6,7.6,35.7,23.1,17.8,11.9,11.5,84.4,9.8,0.2,1.4,1.0,3.3,30.5,1906,78.4,13.7,6.9,1.0,3.4
41047010600,Oregon,Marion County,2202,1055,1147,1.2,90.6,0.0,0.4,0.0,0.0,1956,54115.0,6167.0,31394.0,4628.0,5.7,2.9,25.9,19.5,26.7,16.3,11.6,74.6,12.3,0.0,7.3,0.0,5.7,25.9,1011,81.1,13.3,5.6,0.0,6.4
41047010701,Oregon,Marion County,8123,4092,4031,21.2,66.9,1.6,0.5,0.5,0.0,4992,50142.0,8222.0,20885.0,2420.0,15.5,18.2,15.6,19.7,29.4,14.6,20.7,79.0,14.5,0.1,2.9,1.6,1.9,19.1,3409,83.7,12.3,3.4,0.5,9.4
41047010702,Oregon,Marion County,6626,2988,3638,6.4,89.7,0.0,0.2,0.5,0.8,4928,60341.0,11093.0,33471.0,6477.0,13.4,24.3,37.0,16.5,24.8,12.8,8.9,80.3,7.3,0.0,1.4,1.8,9.2,27.6,2843,76.7,17.7,5.6,0.0,4.7
41047010801,Oregon,Marion County,6259,3068,3191,12.9,81.5,0.0,2.0,1.0,0.0,4676,51554.0,11250.0,24035.0,2562.0,9.5,19.3,24.4,19.2,28.2,14.8,13.4,83.2,13.2,0.0,1.7,0.7,1.2,21.8,2500,78.0,18.4,3.6,0.0,8.3
41047010802,Oregon,Marion County,7069,3635,3434,21.6,75.9,0.0,0.7,1.4,0.1,4725,58005.0,9331.0,23066.0,2860.0,17.0,22.5,20.7,13.0,27.2,22.8,16.3,82.3,13.0,0.0,1.8,0.3,2.6,29.2,2846,83.2,11.2,5.7,0.0,5.1
41049970100,Oregon,Morrow County,8308,4264,4044,45.0,50.8,0.3,1.0,0.5,0.4,4648,53362.0,3452.0,20255.0,1490.0,16.0,22.4,21.0,13.3,13.8,23.9,28.1,75.1,17.0,0.2,2.0,2.0,3.8,21.1,3387,82.7,12.1,5.2,0.0,5.3
41049970200,Oregon,Morrow County,2845,1460,1385,6.0,89.6,0.0,0.0,0.8,0.0,2079,56452.0,5152.0,26088.0,2162.0,10.9,12.1,40.6,14.4,20.2,17.3,7.5,71.7,9.1,0.9,5.7,1.5,11.2,18.7,1408,58.2,26.3,13.8,1.6,3.6
